iso3,CName,Date,Levels
CZE,Czechia,2020-04-20,"{'u'}"
NLD,Netherlands,2020-05-11,"{'p'}"
NOR,Norway,2020-05-15,"{'k','p','s','u'}"
POL,Poland,2020-05-25,"{'p','s'}"
PRT,Portugal,2020-05-18,"{'k','s'}"
SEN,Senegal,2020-06-02,"{'s'}"
